分数,人数,累计人数,分数,人数,累计人数
697-750,45,45,697-750,45,45
696,5,50,696,5,50
695,13,63,695,13,63
694,11,74,694,11,74
693,11,85,693,11,85
692,12,97,692,12,97
691,11,108,691,11,108
690,11,119,690,11,119
689,17,136,689,17,136
688,20,156,688,20,156
687,21,177,687,21,177
686,21,198,686,21,198
685,18,216,685,18,216
684,24,240,684,24,240
683,38,278,683,38,278
682,27,305,682,27,305
681,34,339,681,34,339
680,38,377,680,38,377
679,37,414,679,37,414
678,45,459,678,45,459
677,45,504,677,45,504
676,43,547,676,43,547
675,51,598,675,51,598
674,60,658,674,60,658
673,76,734,673,76,734
672,76,810,672,76,810
671,93,903,671,93,903
670,76,979,670,76,979
669,84,1063,669,84,1063
668,84,1147,668,84,1147
667,86,1233,667,86,1233
666,77,1310,666,77,1310
665,86,1396,665,86,1396
664,128,1524,664,128,1524
663,105,1629,663,105,1629
662,132,1761,662,132,1761
661,130,1891,661,130,1891
660,105,1996,660,105,1996
659,112,2108,659,112,2108
658,135,2243,658,135,2243
657,134,2377,657,134,2377
656,148,2525,656,148,2525
655,158,2683,655,158,2683
654,171,2854,654,171,2854
653,130,2984,653,130,2984
652,176,3160,652,176,3160
651,191,3351,651,191,3351
650,177,3528,650,177,3528
649,177,3705,649,177,3705
648,196,3901,648,196,3901
647,174,4075,647,174,4075
646,180,4255,646,180,4255
645,220,4475,645,220,4475
644,207,4682,644,207,4682
643,239,4921,643,239,4921
642,213,5134,642,213,5134
641,233,5367,641,233,5367
640,241,5608,640,241,5608
639,206,5814,639,206,5814
638,259,6073,638,259,6073
637,232,6305,637,232,6305
636,239,6544,636,239,6544
635,273,6817,635,273,6817
634,264,7081,634,264,7081
633,276,7357,633,276,7357
632,278,7635,632,278,7635
631,274,7909,631,274,7909
630,279,8188,630,279,8188
629,306,8494,629,306,8494
628,318,8812,628,318,8812
627,314,9126,627,314,9126
626,310,9436,626,310,9436
625,295,9731,625,295,9731
624,347,10078,624,347,10078
623,325,10403,623,325,10403
622,335,10738,622,335,10738
621,326,11064,621,326,11064
620,333,11397,620,333,11397
619,328,11725,619,328,11725
618,352,12077,618,352,12077
